time_s,pos_m,setpoint_m,servo_deg
2.4,0.0356,0.15,52.0
2.403,0.0297,0.15,50.0
2.405,0.025,0.15,48.0
2.408,0.0215,0.15,83.0
2.411,0.0189,0.15,103.0
2.413,0.0167,0.15,116.0
2.417,0.015,0.15,123.0
2.419,0.0136,0.15,128.0
2.422,0.0127,0.15,130.0
2.424,0.012,0.15,132.0
2.427,0.0113,0.15,133.0
2.43,0.011,0.15,134.0
2.432,0.0115,0.15,134.0
2.435,0.0109,0.15,134.0
2.438,0.0116,0.15,134.0
2.441,0.0205,0.15,134.0
2.444,0.0249,0.15,134.0
2.446,0.0221,0.15,134.0
2.449,0.0283,0.15,134.0
2.453,0.033,0.15,98.0
2.456,0.0374,0.15,78.0
2.459,0.0393,0.15,65.0
2.462,0.0421,0.15,57.0
2.465,0.0432,0.15,52.0
2.468,0.0441,0.15,50.0
2.471,0.0448,0.15,48.0
2.475,0.0453,0.15,47.0
2.478,0.0459,0.15,46.0
2.481,0.0473,0.15,46.0
2.483,0.0387,0.15,46.0
2.486,0.0313,0.15,46.0
2.489,0.0276,0.15,46.0
2.491,0.024,0.15,46.0
2.494,0.0214,0.15,82.0
2.497,0.0188,0.15,102.0
2.5,0.0167,0.15,115.0
2.502,0.0155,0.15,123.0
2.505,0.0157,0.15,128.0
2.508,0.0143,0.15,130.0
2.51,0.013,0.15,132.0
2.514,0.0234,0.15,133.0
2.516,0.0198,0.15,134.0
2.519,0.0176,0.15,134.0
2.522,0.028,0.15,134.0
2.525,0.0342,0.15,134.0
2.529,0.0392,0.15,134.0
2.532,0.043,0.15,134.0
2.535,0.045,0.15,134.0
2.538,0.0467,0.15,98.0
2.542,0.0488,0.15,78.0
2.545,0.0501,0.15,65.0
2.548,0.0514,0.15,57.0
2.551,0.0519,0.15,52.0
2.554,0.0518,0.15,50.0
2.558,0.0527,0.15,48.0
2.561,0.0536,0.15,49.0
2.564,0.0539,0.15,49.0
2.568,0.0535,0.15,50.0
2.57,0.0424,0.15,50.0
2.573,0.0461,0.15,50.0
2.577,0.0499,0.15,50.0
2.579,0.0402,0.15,50.0
2.582,0.0437,0.15,84.0
2.585,0.0365,0.15,104.0
2.588,0.0305,0.15,116.0
2.592,0.0393,0.15,123.0
2.594,0.0317,0.15,128.0
2.597,0.0266,0.15,131.0
2.6,0.0357,0.15,132.0
2.604,0.0428,0.15,133.0
2.607,0.0469,0.15,134.0
2.611,0.0518,0.15,134.0
2.614,0.0546,0.15,134.0
2.617,0.056,0.15,134.0
2.621,0.0569,0.15,134.0
